"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"79",88,35,2011-08-29,8,3,11,4.38285714285714,81.0114285714286,64.9142857142857,0.152603744285714,0,0.714285714285714,970,3,8,4,4,63,10,5,90,12,182,175,131,201,72,10,82,95,145,76,136,76,83,134,143,0,0,1,0,0,1,0,1,0,3,0,2,0,0,0,2,0,1
"80",89,36,2011-09-05,9,4,11,4.56714285714286,77.2957142857143,67.4471428571429,1.06214635714286,0,0.571428571428571,956,2,8,4,5,65,9,6,92,8,171,172,127,201,82,4,99,90,169,83,101,64,90,121,139,0,1,0,0,0,0,1,0,0,1,1,0,2,0,1,2,0,1
"81",90,37,2011-09-12,9,4,11,4.75571428571429,75.56,58.7814285714286,0.0494937142857143,0,0.571428571428571,1022,4,6,4,5,68,6,4,90,14,176,185,165,204,84,7,106,100,154,106,147,99,83,107,120,0,0,1,0,0,0,0,3,0,0,0,0,2,0,3,0,1,0
"82",91,38,2011-09-19,9,4,11,4.94857142857143,74.0042857142857,65.4285714285714,0.363047642857143,0,0.714285714285714,1056,6,7,3,6,52,11,10,104,14,204,169,168,213,80,9,91,115,176,80,144,107,76,112,155,3,1,0,1,0,0,0,0,1,1,0,2,2,0,1,0,1,0
"83",92,39,2011-09-26,9,4,11,5.13571428571429,72.5771428571429,61.6485714285714,0.0532901071428571,0,0.714285714285714,1050,4,9,6,8,67,11,9,97,16,180,212,122,234,69,6,116,102,188,96,115,87,97,107,142,1,0,1,0,0,0,1,0,1,2,1,4,0,0,0,0,1,1
"84",93,40,2011-10-03,10,4,11,5.32285714285714,67.8328571428572,48.7785714285714,0.00524745857142857,0,0.714285714285714,1058,2,8,6,4,58,10,4,106,9,195,185,147,235,83,6,86,93,160,85,162,97,113,109,153,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,4,0,0
"85",94,41,2011-10-10,10,4,11,5.49714285714286,71.7028571428571,58.3442857142857,0.155933321428571,0,0.714285714285714,1119,7,6,7,6,53,10,16,106,13,225,205,170,213,78,4,125,132,158,73,145,87,102,135,162,0,0,1,0,1,2,1,1,1,0,1,2,0,1,0,0,0,2
"86",95,42,2011-10-17,10,4,11,5.66714285714286,66.6371428571428,51.2085714285714,0.11811,0,0.428571428571429,1035,2,7,8,6,66,18,8,95,9,179,203,140,211,83,0,102,110,151,77,136,113,94,125,127,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,1
"87",96,43,2011-10-24,10,4,11,5.82142857142857,58.73,44.0085714285714,0.182226857142857,0.0337457142857143,0.714285714285714,1002,4,4,5,3,40,6,9,76,13,177,191,174,225,71,4,99,110,164,80,121,78,102,125,123,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"88",97,44,2011-10-31,10,4,11,6.10571428571429,57.7785714285714,39.7785714285714,0,0,0.714285714285714,1095,3,8,6,8,47,24,9,110,7,178,205,171,231,82,6,107,110,183,95,151,90,94,110,155,0,2,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0
"89",98,45,2011-11-07,11,4,11,7.08142857142857,61.5971428571429,40.4985714285714,0.00899885714285714,0,0.571428571428571,1082,5,6,5,1,45,16,10,101,16,172,197,199,203,94,12,94,111,182,96,114,97,104,124,160,1,0,2,0,1,1,0,0,0,0,2,1,0,2,1,0,0,0
"90",99,46,2011-11-14,11,4,11,7.17571428571429,60.5042857142857,45.4228571428571,0.0661303514285714,0,0.714285714285714,997,2,2,6,3,56,11,13,90,17,189,164,172,180,83,9,96,88,168,64,107,99,84,157,134,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"91",100,47,2011-11-21,11,4,11,7.24571428571429,63.3585714285714,44.8442857142857,0.387232071428571,0,0.428571428571429,960,1,4,8,1,48,14,14,78,12,158,183,158,180,93,8,97,91,165,73,102,62,105,117,148,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"92",101,48,2011-11-28,11,4,11,7.28428571428571,57.9714285714286,41,0.070866,0,0.714285714285714,994,1,6,7,0,49,19,12,83,17,208,186,110,209,81,6,130,84,160,80,125,87,100,106,122,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1
"93",102,49,2011-12-05,12,1,11,7.3,53.0085714285714,38.7885714285714,0.347299642857143,0,0.714285714285714,889,4,7,10,0,42,18,4,72,9,176,178,83,208,75,3,93,90,173,77,110,72,75,98,101,1,1,0,0,1,0,0,0,1,0,1,1,2,3,0,0,0,0
"94",103,50,2011-12-12,12,1,11,7.28,48.9457142857143,34.5842857142857,0.000421821428571429,0,0.714285714285714,972,3,9,6,5,61,17,9,97,11,173,195,103,199,74,10,110,87,176,71,112,76,86,121,133,0,0,1,1,0,0,1,0,0,0,2,0,2,0,2,3,0,0
"95",104,51,2011-12-19,12,1,11,7.23142857142857,53.0085714285714,39.9328571428571,0.17027525,0,0.571428571428571,954,4,10,3,6,67,13,11,79,7,182,220,83,181,83,5,96,100,174,74,101,61,94,112,142,0,1,0,0,0,0,2,1,0,0,1,0,2,0,1,1,3,2
"96",105,52,2011-12-26,12,1,11,7.16,49.7814285714286,34.9185714285714,0.115016642857143,0,0,876,1,3,6,2,45,12,15,89,10,190,157,110,165,65,6,68,106,161,56,97,77,89,107,115,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"97",106,1,2012-01-02,1,1,12,7.06,49.4342857142857,28.4771428571429,0.00182789285714286,0,0.571428571428571,813,5,6,5,3,42,9,8,84,7,159,151,85,180,67,2,86,80,131,61,87,78,92,97,101,1,0,0,0,0,2,1,1,0,0,1,0,2,0,1,1,1,0
