assault_incid_c,unintent_incid_c,suicide_incid_c,undeter_incid_c,legal_incid_c,combined_incid_c,zipcode,year,weekofyr,assault_tot,unintent_tot,suicide_tot,undeter_tot,legal_tot,combined_tot,assault_incid,unintent_incid,suicide_incid,undeter_incid,legal_incid,combined_incid,_chk,zippop_tag
0,0,0,0,0,0,55473,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55473,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55473,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55474,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55474,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55474,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55474,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55474,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55478,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55478,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55478,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55478,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55478,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55479,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55479,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55479,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55479,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55479,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55480,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55480,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55480,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55480,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55480,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55483,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55483,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55483,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55483,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55483,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55484,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55484,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55484,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55484,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55484,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55485,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55485,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55485,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55485,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55485,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55486,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55486,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55486,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55486,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55486,2020,33,,,,,,,,,,,,,,1
